date,price,quantity,product
2024-01-15,120,15,Product A
2024-01-22,115,12,Product B
2024-02-05,130,18,Product A
2024-02-12,125,14,Product C
2024-02-19,140,20,Product A
2024-02-26,135,16,Product B
2024-03-05,145,22,Product A
2024-03-12,150,19,Product C
2024-03-19,155,25,Product A
2024-03-26,160,21,Product B
2024-04-02,165,28,Product A
2024-04-09,170,24,Product C
2024-04-16,175,30,Product A
2024-04-23,180,26,Product B
2024-04-30,185,32,Product A
2024-05-07,190,29,Product C
2024-05-14,195,35,Product A
2024-05-21,200,31,Product B
2024-05-28,205,38,Product A
2024-06-04,210,34,Product C
2024-06-11,215,40,Product A
2024-06-18,220,36,Product B
2024-06-25,225,42,Product A
2024-07-02,230,39,Product C
2024-07-09,235,45,Product A
2024-07-16,240,41,Product B
2024-07-23,245,48,Product A
2024-07-30,250,44,Product C
2024-08-06,255,50,Product A
2024-08-13,260,46,Product B
2024-08-20,265,52,Product A
2024-08-27,270,49,Product C
2024-09-03,275,55,Product A
2024-09-10,280,51,Product B
2024-09-17,285,58,Product A
2024-09-24,290,54,Product C
2024-10-01,295,60,Product A
2024-10-08,300,56,Product B
2024-10-15,305,62,Product A
2024-10-22,310,59,Product C
2024-11-05,315,65,Product A
2024-11-12,320,61,Product B
2024-11-19,325,68,Product A
2024-11-26,330,64,Product C
2024-12-03,335,70,Product A
2024-12-10,340,66,Product B
2024-12-17,345,72,Product A
2024-12-24,350,69,Product C
2025-01-07,355,75,Product A
2025-01-14,360,71,Product B
2025-01-21,365,78,Product A
2025-01-28,370,74,Product C